#{"t_start": 1691064604.8087392, "env_id": null}
r,l,t
-0.96875,5,0.356366
0.0,6,0.357637
0.0,6,0.359048
0.0,6,0.360319
0.0,6,0.361989
-0.96875,5,0.363141
0.0,6,0.364542
0.0,6,0.365805
-0.96875,5,0.366894
-0.96875,5,0.368024
0.0,6,0.36937
0.0,6,0.370687
-0.9375,4,0.371561
-0.9375,4,0.372434
-0.96875,5,0.373629
-0.9375,4,0.374502
0.0,6,0.375763
-0.96875,5,0.376883
-0.96875,5,0.37803
0.0,6,0.379294
-0.9375,4,0.38037
0.0,6,0.381853
0.0,6,0.383754
0.0,6,0.38517
-0.9375,4,0.386048
-0.9375,4,0.386922
-0.9375,4,0.387886
-0.96875,5,0.389069
-0.96875,5,0.39031
0.0,6,0.391841
0.0,6,0.393269
0.0,6,0.394662
0.0,6,0.396095
0.0,6,0.397771
-0.96875,5,0.399201
0.0,6,0.400822
-0.96875,5,0.401953
0.0,6,0.403254
-0.96875,5,0.404496
0.0,6,0.406018
-0.96875,5,0.407283
-0.9375,4,0.408299
0.0,6,0.409717
0.0,6,0.41099
0.0,6,0.412313
0.0,6,0.4139
-0.96875,5,0.415226
0.0,6,0.416907
-0.96875,5,0.418105
0.0,6,0.419468
0.0,6,0.420854
0.0,6,0.422199
0.0,6,0.423498
0.0,6,0.424919
0.0,6,0.426425
0.0,6,0.427764
-0.96875,5,0.428839
0.0,6,0.43016
-0.96875,5,0.431486
0.0,6,0.43315
-0.96875,5,0.434786
0.0,6,0.43611
0.0,6,0.437537
-0.9375,4,0.438419
-0.9375,4,0.439298
-0.96875,5,0.440583
0.0,6,0.442315
0.0,6,0.443655
-0.96875,5,0.444726
-0.96875,5,0.445794
-0.96875,5,0.446996
-0.9375,4,0.447868
0.0,6,0.449133
0.0,6,0.450652
-0.96875,5,0.451977
0.0,6,0.453592
-0.9375,4,0.454535
-0.96875,5,0.455693
-0.9375,4,0.456699
-0.9375,4,0.457643
-0.96875,5,0.458815
0.0,6,0.460239
0.0,6,0.461669
0.0,6,0.462943
-0.96875,5,0.464079
-0.96875,5,0.465176
-0.9375,4,0.466135
0.0,6,0.46741
-0.96875,5,0.468544
-0.96875,5,0.469634
-0.9375,4,0.470593
0.0,6,0.471877
-0.96875,5,0.473018
0.0,6,0.474408
-0.96875,5,0.475691
-0.96875,5,0.476834
0.0,6,0.478103
0.0,6,0.479412
-0.96875,5,0.480566
-0.96875,5,0.481644
0.0,6,0.48296
-0.96875,5,0.484032
0.0,6,0.48537
0.0,6,0.486688
-0.9375,4,0.487559
0.0,6,0.488826
0.0,6,0.490547
0.0,6,0.491843
0.0,6,0.493182
-0.96875,5,0.494261
-0.9375,4,0.495221
-0.9375,4,0.496102
0.0,6,0.49743
-0.9375,4,0.498308
0.0,6,0.499821
0.0,6,0.501613
-0.96875,5,0.50291
-0.9375,4,0.503815
-0.96875,5,0.504993
0.0,6,0.506324
-0.96875,5,0.50741
0.0,6,0.508781
-0.96875,5,0.510399
-0.96875,5,0.511528
-0.96875,5,0.512634
0.0,6,0.51396
-0.9375,4,0.514912
0.0,6,0.516309
0.0,6,0.517753
-0.9375,4,0.518881
0.0,6,0.520567
-0.96875,5,0.521671
-0.96875,5,0.522803
0.0,6,0.524158
0.0,6,0.525867
-0.9375,4,0.526778
-0.96875,5,0.527927
0.0,6,0.529221
0.0,6,0.530669
0.0,6,0.531968
-0.96875,5,0.533244
0.0,6,0.534619
-0.96875,5,0.536279
-0.96875,5,0.537465
0.0,6,0.538734
0.0,6,0.540042
0.0,6,0.541615
-0.9375,4,0.542647
0.0,6,0.543997
0.0,6,0.545365
-0.96875,5,0.546525
0.0,6,0.547855
-0.96875,5,0.548934
-0.96875,5,0.550406
-0.96875,5,0.55205
0.0,6,0.553662
-0.96875,5,0.554767
-0.96875,5,0.555889
-0.96875,5,0.557157
-0.96875,5,0.558286
0.0,6,0.559771
0.0,6,0.561086
-0.96875,5,0.562292
0.0,6,0.56366
0.0,6,0.564956
0.0,6,0.566427
0.0,6,0.567858
0.0,6,0.569755
-0.9375,4,0.570746
0.0,6,0.572053
0.0,6,0.573513
0.0,6,0.575148
-0.9375,4,0.576167
-0.96875,5,0.577307
0.0,6,0.578651
-0.96875,5,0.579715
-0.9375,4,0.58058
0.0,6,0.5819
-0.96875,5,0.583044
0.0,6,0.584367
0.0,6,0.585633
-0.96875,5,0.586701
-0.96875,5,0.5879
0.0,6,0.589182
-0.96875,5,0.590302
-0.9375,4,0.591172
-0.96875,5,0.592366
0.0,6,0.593813
0.0,6,0.595147
0.0,6,0.596539
-0.96875,5,0.597687
0.0,6,0.59901
-0.96875,5,0.60007
0.0,6,0.601382
-0.96875,5,0.602529
0.0,6,0.603797
0.0,6,0.60516
0.0,6,0.606415
0.0,6,0.607805
0.0,6,0.609073
-0.96875,5,0.610199
-0.9375,4,0.611065
-0.96875,5,0.612214
-0.96875,5,0.613325
-0.96875,5,0.614412
0.0,6,0.615869
-0.96875,5,0.617014
-0.9375,4,0.617882
-0.9375,4,0.618746
-0.96875,5,0.619806
-0.96875,5,0.621003
0.0,6,0.622269
-0.9375,4,0.623136
0.0,6,0.624444
0.0,6,0.625785
-0.96875,5,0.62685
0.0,6,0.628168
0.0,6,0.62947
-0.96875,5,0.63066
0.0,6,0.631925
0.0,6,0.633499
-0.96875,5,0.6348
0.0,6,0.636454
-0.96875,5,0.637631
-0.9375,4,0.638504
0.0,6,0.639767
