#{"t_start": 1691064728.5882711, "env_id": null}
r,l,t
0.0,6,0.410205
-0.96875,5,0.41153
-0.96875,5,0.412832
0.0,6,0.414303
0.0,6,0.415871
-0.96875,5,0.417298
0.0,6,0.418789
0.0,6,0.420325
-0.9375,4,0.421347
-0.9375,4,0.422609
0.0,6,0.424624
-0.96875,5,0.426497
-0.96875,5,0.427887
-0.9375,4,0.429095
0.0,6,0.430658
0.0,6,0.432431
0.0,6,0.434082
-0.9375,4,0.435317
0.0,6,0.436979
0.0,6,0.438499
0.0,6,0.440328
0.0,6,0.443346
0.0,6,0.445068
-0.96875,5,0.446404
0.0,6,0.448382
-0.96875,5,0.44993
0.0,6,0.451657
0.0,6,0.453305
-0.96875,5,0.454748
-0.96875,5,0.456505
-0.9375,4,0.458253
-0.96875,5,0.459861
0.0,6,0.461487
-0.9375,4,0.462769
-0.96875,5,0.4643
0.0,6,0.466269
-0.96875,5,0.467644
-0.96875,5,0.469156
0.0,6,0.470896
0.0,6,0.472713
-0.96875,5,0.474159
-0.9375,4,0.47537
0.0,6,0.476946
-0.96875,5,0.478289
-0.96875,5,0.479708
-0.96875,5,0.481168
-0.96875,5,0.48251
0.0,6,0.484462
-0.9375,4,0.485664
-0.96875,5,0.487264
-0.96875,5,0.489084
0.0,6,0.491064
-0.96875,5,0.492466
-0.9375,4,0.49379
-0.96875,5,0.495095
0.0,6,0.49669
-0.9375,4,0.497807
0.0,6,0.499468
-0.96875,5,0.500837
0.0,6,0.50246
-0.9375,4,0.503696
0.0,6,0.505483
-0.96875,5,0.507067
-0.96875,5,0.508785
0.0,6,0.510799
-0.96875,5,0.512358
0.0,6,0.513964
0.0,6,0.515576
0.0,6,0.51724
0.0,6,0.519044
0.0,6,0.520657
0.0,6,0.522315
0.0,6,0.524175
-0.96875,5,0.526426
0.0,6,0.528151
0.0,6,0.529743
0.0,6,0.5314
0.0,6,0.533268
0.0,6,0.535017
-0.9375,4,0.536113
-0.96875,5,0.537439
0.0,6,0.539191
-0.96875,5,0.540986
0.0,6,0.543046
0.0,6,0.544742
0.0,6,0.546432
0.0,6,0.54807
-0.9375,4,0.549422
0.0,6,0.551119
-0.96875,5,0.552677
-0.96875,5,0.554046
-0.9375,4,0.555239
0.0,6,0.557924
0.0,6,0.560101
0.0,6,0.561693
0.0,6,0.563345
0.0,6,0.564925
0.0,6,0.566754
-0.9375,4,0.567916
0.0,6,0.569557
0.0,6,0.57123
-0.96875,5,0.572749
0.0,6,0.574519
-0.9375,4,0.575626
-0.96875,5,0.576997
-0.96875,5,0.578467
0.0,6,0.580109
0.0,6,0.581766
0.0,6,0.58422
0.0,6,0.585971
0.0,6,0.587597
-0.96875,5,0.58892
0.0,6,0.590444
0.0,6,0.592109
-0.96875,5,0.593394
0.0,6,0.594947
0.0,6,0.596413
0.0,6,0.59807
0.0,6,0.599711
0.0,6,0.601359
-0.9375,4,0.602414
-0.96875,5,0.60381
0.0,6,0.605321
-0.9375,4,0.626556
-0.96875,5,0.628847
0.0,6,0.649532
0.0,6,0.651875
0.0,6,0.653876
0.0,6,0.655848
0.0,6,0.658892
-0.96875,5,0.660577
0.0,6,0.662395
-0.96875,5,0.663809
0.0,6,0.665784
0.0,6,0.667525
-0.96875,5,0.668995
-0.96875,5,0.670509
0.0,6,0.672279
0.0,6,0.674094
0.0,6,0.675758
0.0,6,0.677431
-0.96875,5,0.678896
0.0,6,0.680493
-0.96875,5,0.681911
-0.96875,5,0.683478
-0.96875,5,0.685408
0.0,6,0.687454
0.0,6,0.689098
0.0,6,0.690866
-0.96875,5,0.692314
0.0,6,0.693893
-0.9375,4,0.694974
0.0,6,0.696616
0.0,6,0.698743
0.0,6,0.70087
-0.96875,5,0.702582
0.0,6,0.704327
-0.96875,5,0.705771
-0.9375,4,0.706983
0.0,6,0.7086
0.0,6,0.7104
-0.96875,5,0.711896
-0.96875,5,0.713257
-0.96875,5,0.71478
0.0,6,0.716742
0.0,6,0.719002
-0.96875,5,0.720512
0.0,6,0.722226
0.0,6,0.723919
-0.96875,5,0.725402
-0.9375,4,0.726619
-0.96875,5,0.727996
0.0,6,0.729666
0.0,6,0.731528
0.0,6,0.733588
0.0,6,0.735617
0.0,6,0.737513
-0.9375,4,0.738806
0.0,6,0.740467
0.0,6,0.742186
0.0,6,0.743795
0.0,6,0.745565
-0.96875,5,0.746958
0.0,6,0.748747
-0.9375,4,0.749875
-0.96875,5,0.751354
-0.96875,5,0.752685
-0.96875,5,0.754007
-0.96875,5,0.755452
0.0,6,0.757332
0.0,6,0.758983
0.0,6,0.760498
0.0,6,0.762222
0.0,6,0.7639
-0.96875,5,0.765306
0.0,6,0.767058
-0.9375,4,0.768155
-0.9375,4,0.769334
0.0,6,0.770877
0.0,6,0.772649
-0.9375,4,0.773728
0.0,6,0.775384
0.0,6,0.77707
-0.96875,5,0.778581
0.0,6,0.780571
-0.96875,5,0.782335
0.0,6,0.783961
0.0,6,0.785612
-0.96875,5,0.78688
0.0,6,0.78854
0.0,6,0.79021
-0.96875,5,0.791462
0.0,6,0.792995
0.0,6,0.794495
-0.96875,5,0.795731
0.0,6,0.7972
-0.96875,5,0.798544
0.0,6,0.800326
-0.96875,5,0.80199
-0.9375,4,0.803081
0.0,6,0.804602
-0.9375,4,0.805738
-0.9375,4,0.806921
-0.96875,5,0.808296
-0.96875,5,0.809737
-0.96875,5,0.811251
-0.96875,5,0.81262
0.0,6,0.814136
0.0,6,0.815978
0.0,6,0.818165
0.0,6,0.819984
-0.96875,5,0.821371
-0.9375,4,0.82248
0.0,6,0.824258
-0.96875,5,0.825684
0.0,6,0.827371
0.0,6,0.829006
-0.96875,5,0.830457
-0.96875,5,0.831979
-0.9375,4,0.83341
0.0,6,0.835498
-0.9375,4,0.83689
0.0,6,0.838498
-0.9375,4,0.83962
-0.9375,4,0.840703
-0.96875,5,0.842136
0.0,6,0.843777
-0.9375,4,0.844858
0.0,6,0.846417
0.0,6,0.848255
0.0,6,0.850129
0.0,6,0.852257
-0.96875,5,0.853706
-0.9375,4,0.854942
0.0,6,0.856593
-0.9375,4,0.857673
0.0,6,0.859287
0.0,6,0.861179
-0.96875,5,0.862527
-0.9375,4,0.863639
0.0,6,0.865273
0.0,6,0.867096
-0.96875,5,0.868502
-0.96875,5,0.869904
0.0,6,0.871585
-0.96875,5,0.873038
-0.96875,5,0.874337
0.0,6,0.875933
0.0,6,0.877416
0.0,6,0.879074
-0.96875,5,0.880348
-0.96875,5,0.881613
-0.96875,5,0.882939
0.0,6,0.884525
0.0,6,0.886073
0.0,6,0.887666
0.0,6,0.889338
-0.96875,5,0.890713
-0.96875,5,0.891932
-0.96875,5,0.893117
-0.9375,4,0.894058
-0.96875,5,0.895315
-0.96875,5,0.896445
0.0,6,0.897767
-0.9375,4,0.898678
-0.96875,5,0.899927
-0.9375,4,0.900844
0.0,6,0.902164
0.0,6,0.903546
0.0,6,0.904945
-0.9375,4,0.905983
0.0,6,0.9076
0.0,6,0.909288
-0.96875,5,0.910667
0.0,6,0.912101
-0.96875,5,0.913247
-0.96875,5,0.9144
0.0,6,0.915977
-0.96875,5,0.917173
0.0,6,0.918637
0.0,6,0.919994
-0.9375,4,0.921029
-0.96875,5,0.922177
-0.9375,4,0.92338
0.0,6,0.925109
0.0,6,0.926996
-0.96875,5,0.928431
0.0,6,0.929844
0.0,6,0.931468
0.0,6,0.933091
-0.96875,5,0.934379
0.0,6,0.935946
-0.96875,5,0.937195
0.0,6,0.939051
0.0,6,0.940576
0.0,6,0.942336
0.0,6,0.94408
-0.96875,5,0.945516
0.0,6,0.947087
0.0,6,0.948739
0.0,6,0.950483
0.0,6,0.952182
-0.96875,5,0.953554
0.0,6,0.955071
0.0,6,0.956944
0.0,6,0.958974
0.0,6,0.961031
0.0,6,0.962659
0.0,6,0.964339
0.0,6,0.96632
