#{"t_start": 1691064667.092127, "env_id": null}
r,l,t
0.0,6,0.410221
-0.96875,5,0.411454
0.0,6,0.412851
0.0,6,0.414253
-0.96875,5,0.41545
-0.9375,4,0.416357
0.0,6,0.417671
0.0,6,0.419051
0.0,6,0.420442
0.0,6,0.421813
-0.96875,5,0.422946
-0.96875,5,0.424058
-0.9375,4,0.42505
0.0,6,0.426397
-0.96875,5,0.427478
0.0,6,0.42882
-0.96875,5,0.429985
0.0,6,0.431273
-0.96875,5,0.432414
0.0,6,0.433845
-0.96875,5,0.435121
-0.96875,5,0.436404
-0.96875,5,0.437613
0.0,6,0.438907
0.0,6,0.440333
0.0,6,0.44181
-0.96875,5,0.443036
0.0,6,0.444319
-0.96875,5,0.445489
0.0,6,0.446825
-0.9375,4,0.44771
-0.96875,5,0.448798
0.0,6,0.450214
0.0,6,0.451495
0.0,6,0.452827
-0.9375,4,0.453704
0.0,6,0.455069
-0.9375,4,0.455954
-0.96875,5,0.457039
-0.96875,5,0.45818
-0.9375,4,0.459273
-0.96875,5,0.460496
-0.96875,5,0.461877
0.0,6,0.46348
-0.9375,4,0.464483
-0.9375,4,0.465367
0.0,6,0.46677
-0.9375,4,0.467711
0.0,6,0.46924
0.0,6,0.470568
-0.96875,5,0.471893
0.0,6,0.473345
-0.96875,5,0.474537
0.0,6,0.476292
-0.96875,5,0.477686
0.0,6,0.479326
0.0,6,0.480845
0.0,6,0.482164
-0.96875,5,0.483331
0.0,6,0.484766
-0.96875,5,0.486032
-0.96875,5,0.48726
-0.9375,4,0.488217
0.0,6,0.489532
-0.96875,5,0.490736
0.0,6,0.492267
-0.9375,4,0.49322
-0.9375,4,0.494297
-0.9375,4,0.495695
-0.96875,5,0.496847
-0.9375,4,0.497738
-0.96875,5,0.498831
0.0,6,0.500291
0.0,6,0.501783
-0.96875,5,0.503059
-0.9375,4,0.503996
-0.96875,5,0.505218
-0.9375,4,0.506116
0.0,6,0.507513
-0.96875,5,0.508666
-0.96875,5,0.510009
0.0,6,0.511581
0.0,6,0.51336
0.0,6,0.514763
-0.96875,5,0.516121
0.0,6,0.517581
0.0,6,0.51914
0.0,6,0.520583
-0.96875,5,0.521905
0.0,6,0.52337
-0.96875,5,0.524543
0.0,6,0.526112
0.0,6,0.527744
0.0,6,0.529505
0.0,6,0.53094
-0.96875,5,0.532111
-0.96875,5,0.533461
0.0,6,0.534944
-0.96875,5,0.536165
0.0,6,0.537674
-0.96875,5,0.53896
-0.9375,4,0.539907
0.0,6,0.541335
-0.96875,5,0.542461
0.0,6,0.543836
0.0,6,0.545195
-0.96875,5,0.546302
0.0,6,0.547662
0.0,6,0.549044
-0.96875,5,0.550139
-0.9375,4,0.551029
0.0,6,0.552382
0.0,6,0.553749
0.0,6,0.55511
0.0,6,0.556408
0.0,6,0.557761
0.0,6,0.559248
-0.96875,5,0.560447
0.0,6,0.561793
-0.96875,5,0.562927
-0.96875,5,0.564195
0.0,6,0.565537
-0.96875,5,0.566666
0.0,6,0.568063
0.0,6,0.569477
-0.96875,5,0.570923
-0.96875,5,0.572128
0.0,6,0.573459
-0.96875,5,0.574766
-0.96875,5,0.575887
0.0,6,0.577337
-0.96875,5,0.578499
-0.9375,4,0.579466
-0.9375,4,0.580351
0.0,6,0.581641
0.0,6,0.582976
0.0,6,0.584347
-0.9375,4,0.585234
-0.96875,5,0.586326
0.0,6,0.58767
-0.9375,4,0.588631
0.0,6,0.589919
-0.9375,4,0.590808
0.0,6,0.59226
0.0,6,0.593731
-0.9375,4,0.594906
0.0,6,0.596745
-0.96875,5,0.5979
0.0,6,0.599379
0.0,6,0.60095
-0.9375,4,0.601865
0.0,6,0.6033
0.0,6,0.605019
0.0,6,0.606428
0.0,6,0.608431
0.0,6,0.611301
0.0,6,0.613567
-0.96875,5,0.614779
-0.96875,5,0.616087
0.0,6,0.617638
-0.96875,5,0.61906
-0.96875,5,0.620432
-0.9375,4,0.621551
-0.96875,5,0.623107
-0.96875,5,0.624518
0.0,6,0.626238
-0.96875,5,0.627742
-0.96875,5,0.629401
0.0,6,0.63119
0.0,6,0.63269
0.0,6,0.634291
-0.96875,5,0.635635
-0.9375,4,0.636767
-0.96875,5,0.638016
-0.96875,5,0.639284
0.0,6,0.640974
-0.96875,5,0.64245
0.0,6,0.644038
0.0,6,0.646011
-0.96875,5,0.647793
-0.96875,5,0.649342
0.0,6,0.650882
-0.96875,5,0.652181
-0.9375,4,0.653212
-0.9375,4,0.654335
0.0,6,0.65586
0.0,6,0.657296
0.0,6,0.658887
-0.96875,5,0.66037
-0.96875,5,0.661584
0.0,6,0.663082
0.0,6,0.664526
-0.96875,5,0.665896
-0.9375,4,0.666839
-0.96875,5,0.668135
-0.96875,5,0.669481
-0.9375,4,0.670956
0.0,6,0.672499
-0.96875,5,0.673865
-0.96875,5,0.67515
0.0,6,0.676846
-0.96875,5,0.67809
-0.9375,4,0.67909
0.0,6,0.680492
-0.96875,5,0.681844
0.0,6,0.683215
0.0,6,0.68464
-0.9375,4,0.685577
0.0,6,0.687042
-0.96875,5,0.688174
0.0,6,0.689533
-0.9375,4,0.69043
-0.96875,5,0.69162
-0.96875,5,0.69272
-0.9375,4,0.693621
0.0,6,0.695001
0.0,6,0.69638
-0.96875,5,0.69766
-0.96875,5,0.699767
0.0,6,0.701405
0.0,6,0.702885
0.0,6,0.704198
-0.96875,5,0.705378
-0.9375,4,0.706436
0.0,6,0.707968
-0.96875,5,0.709268
